question_text,expected_answer,bloom_label,complexity_score,technology
What is HashMap in Java?,"HashMap stores key-value pairs using hashing for fast retrieval. It allows null values and one null key, doesn't maintain order, and provides O(1) average time complexity for basic operations like get() and put().",REMEMBER,2.6,java
What is the difference between HashMap and HashSet?,HashMap stores key-value pairs and allows duplicate values but unique keys. HashSet stores only unique elements (no duplicates) and is internally implemented using HashMap where elements are stored as keys with a dummy value.,APPLY,4.6,java
What is the difference between ArrayList and LinkedList?,ArrayList uses dynamic arrays providing fast random access (O(1)) but slow insertion/deletion in middle (O(n)). LinkedList uses doubly-linked nodes providing fast insertion/deletion (O(1)) but slow random access (O(n)).,REMEMBER,3.3,java
What is exception handling in Java?,"Exception handling manages runtime errors using try-catch-finally blocks. Try contains code that might throw exceptions, catch handles specific exceptions, and finally executes cleanup code regardless of whether exceptions occur.",REMEMBER,3.2,java
What is the difference between checked and unchecked exceptions?,"Checked exceptions must be handled at compile time using try-catch or throws declaration (e.g., IOException). Unchecked exceptions occur at runtime and don't require explicit handling (e.g., NullPointerException, ArrayIndexOutOfBoundsException).",REMEMBER,4.5,java
What is multithreading in Java?,Multithreading enables concurrent execution of multiple threads within a program. It's achieved by extending Thread class or implementing Runnable interface. Java provides synchronization mechanisms to handle shared resources safely.,APPLY,4.8,java
What is synchronization in Java?,"Synchronization controls access to shared resources in multithreaded environments to prevent data corruption. It's implemented using synchronized keyword, locks, or concurrent collections to ensure thread safety.",APPLY,3.4,java
What is garbage collection in Java?,Garbage collection automatically manages memory by removing objects that are no longer referenced. The JVM periodically runs garbage collector using algorithms like mark-and-sweep to free up memory and prevent memory leaks.,REMEMBER,2.8,java
What is Spring Framework?,"Spring is a comprehensive framework for enterprise Java development providing dependency injection, aspect-oriented programming, and integration with other technologies. It simplifies Java development and promotes loose coupling through IoC container.",CREATE,5.7,java
What is dependency injection in Spring?,"Dependency injection is a design pattern where Spring container provides dependencies to objects rather than objects creating them. It promotes loose coupling and is implemented through constructor injection, setter injection, or field injection.",CREATE,5.3,java
What is RESTful web service?,"REST (Representational State Transfer) is an architectural style for web services using HTTP methods (GET, POST, PUT, DELETE). It uses stateless communication, JSON/XML data formats, and URL-based resource identification.",APPLY,4.5,java
What is JPA and Hibernate?,"JPA (Java Persistence API) is a specification for object-relational mapping in Java. Hibernate is a popular JPA implementation that provides automatic mapping between Java objects and database tables, reducing boilerplate code.",APPLY,5.1,java
What is the difference between Composition and Aggregation relationships in Java?,"Composition is a strong 'part-of' relationship where child objects cannot exist without parent (House-Room). Aggregation is a weaker 'has-a' relationship where child objects can exist independently (Department-Employee). Composition implies ownership and lifecycle dependency, while aggregation implies usage without ownership.",APPLY,5.0,java
What is the difference between ClassLoader and Class.forName()?,"ClassLoader loads classes into JVM memory without initializing static blocks or variables. Class.forName() loads and initializes the class, executing static blocks and initializing static variables. ClassLoader provides more control over the loading process, while Class.forName() is simpler for basic class loading needs.",REMEMBER,4.2,java
What is the Proxy pattern and how is it implemented in Java?,"Proxy pattern provides a surrogate or placeholder for another object to control access to it. Java implements it through java.lang.reflect.Proxy for interfaces or CGLIB for classes. Dynamic proxies are created at runtime and can intercept method calls, commonly used in frameworks like Spring for AOP and transaction management.",APPLY,5.3,java
What is the difference between BiFunction and Function in Java 8?,"Function takes one argument and returns a result (T -> R). BiFunction takes two arguments and returns a result ((T, U) -> R). Both are functional interfaces used with lambda expressions and method references. BiFunction is useful for operations requiring two inputs like mathematical operations or comparisons.",APPLY,6.1,java
What is the difference between CopyOnWriteArrayList and Collections.synchronizedList()?,"CopyOnWriteArrayList creates a new copy of the underlying array for every write operation, making it thread-safe for concurrent reads but expensive for writes. Collections.synchronizedList() wraps an existing list with synchronized methods but requires external synchronization for iteration to avoid ConcurrentModificationException.",REMEMBER,4.1,java
What is the Builder pattern and when should it be used?,"Builder pattern constructs complex objects step by step, separating construction from representation. It's useful for objects with many optional parameters, avoiding telescoping constructors. Java implementations often use method chaining with a static inner Builder class, providing readable and flexible object creation.",APPLY,4.2,java
What is the difference between Predicate and Function in Stream operations?,"Predicate represents a boolean-valued function used for filtering operations like filter(). It takes one argument and returns boolean. Function represents a transformation operation used in map(), taking one argument and returning a different type. Predicate tests conditions, Function transforms data.",APPLY,4.6,java
What is the difference between Serial and Parallel Garbage Collectors?,"Serial GC uses a single thread for garbage collection, suitable for small applications with heap sizes under 100MB. Parallel GC uses multiple threads for both young and old generation collection, better for multi-core systems and larger heaps. Serial has lower overhead, Parallel has better throughput.",APPLY,4.6,java
What is the Observer pattern and how is it used in Java?,"Observer pattern defines a one-to-many dependency between objects, where changes in one object notify all dependents automatically. Java provided Observable class and Observer interface (deprecated in Java 9). Modern implementations use custom event listeners, PropertyChangeListener, or reactive frameworks like RxJava.",REMEMBER,4.6,java
What is the difference between blocking and non-blocking I/O in Java?,"Blocking I/O operations halt thread execution until completion, using traditional java.io package. Non-blocking I/O allows threads to continue execution while I/O operations proceed asynchronously, using java.nio package with channels, selectors, and buffers. NIO is more scalable for handling many concurrent connections.",REMEMBER,3.6,java
What is the Template Method pattern in Java?,"Template Method pattern defines the skeleton of an algorithm in a base class, letting subclasses override specific steps without changing the algorithm structure. The template method is usually final to prevent modification, while hook methods are protected and can be overridden by subclasses.",REMEMBER,3.6,java
What is the difference between AtomicInteger and volatile int?,"AtomicInteger provides atomic operations like compareAndSet(), incrementAndGet() using lock-free algorithms (CAS). volatile int only guarantees visibility of changes across threads but doesn't provide atomic compound operations. AtomicInteger is thread-safe for complex operations, volatile is only for simple reads/writes.",UNDERSTAND,4.5,java
What is the Decorator pattern and how is it implemented in Java?,Decorator pattern adds new functionality to objects without altering their structure by wrapping them in decorator objects. Java I/O classes extensively use this pattern (BufferedReader wrapping FileReader). It provides a flexible alternative to subclassing for extending functionality at runtime.,APPLY,4.7,java
What is the difference between Spliterator and Iterator?,"Iterator traverses collections sequentially with hasNext() and next() methods. Spliterator supports both sequential and parallel traversal, can split itself for parallel processing, and provides characteristics like ORDERED, DISTINCT. Spliterators are used internally by Stream API for parallel operations.",APPLY,5.0,java
What is method reference and constructor reference in Java 8?,"Method references provide shorthand syntax for lambda expressions that call existing methods. Types include static method (Class::method), instance method (object::method), and constructor references (Class::new). Constructor references create new instances and can be used with Supplier functional interface or Stream operations.",CREATE,6.8,java
What is the difference between Fork-Join pool and Thread pool?,"Fork-Join pool is designed for divide-and-conquer algorithms using work-stealing queues, where tasks can spawn subtasks. Thread pools execute independent tasks using a fixed number of threads. Fork-Join is optimized for recursive parallelism and CPU-intensive tasks, while Thread pools are better for I/O-bound tasks.",CREATE,6.1,java
What is the Strategy pattern and its benefits?,"Strategy pattern encapsulates algorithms in separate classes and makes them interchangeable at runtime. It defines a family of algorithms, encapsulates each one, and makes them interchangeable. Benefits include eliminating conditional statements, supporting Open/Closed principle, and enabling runtime algorithm selection.",REMEMBER,3.3,java
What is the difference between LinkedHashMap and TreeMap?,"LinkedHashMap maintains insertion order using a doubly-linked list, provides O(1) access time, and allows null values. TreeMap maintains natural ordering using a Red-Black tree, provides O(log n) access time, doesn't allow null keys, and implements NavigableMap with additional navigation methods.",REMEMBER,4.0,java
What is Phantom Reference and when is it used?,"Phantom Reference is the weakest reference type, used for cleanup operations after an object becomes unreachable. Unlike other references, get() always returns null. It's queued in ReferenceQueue only after finalization, making it useful for resource cleanup that must happen after garbage collection.",APPLY,4.4,java
What is the Command pattern in Java?,"Command pattern encapsulates requests as objects, allowing parameterization of clients with different requests, queuing of requests, and support for undo operations. It decouples the object that invokes the operation from the one that performs it, commonly used in GUI frameworks and macro recording.",APPLY,4.7,java
What is the difference between Collectors.toList() and Stream.collect()?,"Collectors.toList() is a predefined collector that creates an ArrayList from stream elements. Stream.collect() is a generic method that accepts any Collector, allowing custom reduction operations. collect() provides more flexibility with custom collectors, while toList() is optimized for the common use case of creating lists.",REMEMBER,4.6,java
What is the difference between Heap dump and Thread dump?,"Heap dump captures the state of JVM heap memory at a specific time, showing object instances, references, and memory usage. Thread dump captures the state of all JVM threads, showing stack traces, thread states, and lock information. Heap dumps debug memory issues, thread dumps debug performance and deadlock issues.",REMEMBER,4.2,java
What is the Adapter pattern and its implementation in Java?,"Adapter pattern allows incompatible interfaces to work together by wrapping one interface with another. Java examples include Arrays.asList() adapting arrays to List interface, and InputStreamReader adapting InputStream to Reader. It enables code reuse by making existing classes work with others without modifying their source code.",APPLY,4.9,java
What is the difference between Semaphore and CountDownLatch?,"Semaphore controls access to a resource pool by maintaining permits that can be acquired and released multiple times. CountDownLatch is a one-time synchronization aid where threads wait for a count to reach zero. Semaphore is reusable and controls concurrent access, CountDownLatch is single-use and waits for completion.",APPLY,4.7,java
What is the Flyweight pattern and when should it be used?,"Flyweight pattern minimizes memory usage by sharing common data among multiple objects. Intrinsic state (shared) is separated from extrinsic state (context-specific). Java String pool is a classic example. Use when you have many objects with shared data, memory is a concern, and object creation is expensive.",APPLY,5.4,java
What is the difference between Stream.of() and Arrays.stream()?,"Stream.of() creates a stream from individual elements or varargs, working with any object type. Arrays.stream() creates a stream specifically from arrays, with overloaded methods for primitive arrays (int[], double[]). Arrays.stream() is more efficient for array sources and handles primitive types better.",CREATE,6.7,java
What is the State pattern in Java?,"State pattern allows an object to alter its behavior when its internal state changes, appearing as if the object changed its class. It encapsulates state-specific behavior in separate state classes and delegates requests to the current state object. Commonly used in state machines and workflow systems.",APPLY,4.6,java
What is the difference between ParallelStream and Sequential Stream?,Sequential streams process elements one at a time in a single thread. Parallel streams divide the data source into segments and process them concurrently using ForkJoinPool. Parallel streams are beneficial for CPU-intensive operations on large datasets but have overhead and may not improve performance for small datasets or I/O operations.,REMEMBER,3.7,java
What is the Chain of Responsibility pattern?,Chain of Responsibility pattern passes requests along a chain of handlers until one handles it. Each handler has a reference to the next handler and decides whether to process the request or pass it along. It decouples senders from receivers and allows dynamic chain composition. Common in logging frameworks and servlet filters.,REMEMBER,3.3,java
What is the difference between Direct Memory and Heap Memory in NIO?,"Direct memory (off-heap) is allocated outside JVM heap using ByteBuffer.allocateDirect(), providing faster I/O operations by avoiding copying between JVM and native memory. Heap memory is managed by garbage collector but requires copying for I/O. Direct memory has faster I/O but slower allocation/deallocation and no automatic garbage collection.",REMEMBER,3.8,java
"What is the difference between JDK, JRE, and JVM?",JDK (Java Development Kit) contains development tools and JRE. JRE (Java Runtime Environment) contains JVM and libraries needed to run Java applications. JVM (Java Virtual Machine) executes Java bytecode and provides platform independence.,CREATE,7.2,java
Why is Java platform independent?,"Java is platform independent because it compiles source code into bytecode, which runs on the JVM. The JVM acts as an abstraction layer between the bytecode and the operating system, allowing the same bytecode to run on different platforms without modification.",APPLY,4.7,java
What are the main features of Java?,"Key Java features include: Object-oriented programming, platform independence, automatic memory management (garbage collection), multithreading support, security features, robustness, and a rich API library.",REMEMBER,3.2,java
What is a constructor in Java?,"A constructor is a special method that is called when an object is created. It has the same name as the class, no return type, and is used to initialize object properties. Java provides a default constructor if none is explicitly defined.",CREATE,5.1,java
What is method overloading?,"Method overloading allows multiple methods with the same name but different parameter lists (different number, type, or order of parameters). It's a compile-time polymorphism feature that enables methods to handle different types of input.",REMEMBER,4.6,java
What is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method that is already defined in its parent class. The method in the subclass must have the same signature as in the parent class and uses the @Override annotation.,APPLY,4.2,java
What are access modifiers in Java?,"Access modifiers control the visibility of classes, methods, and variables. The four types are: private (same class only), default/package-private (same package), protected (same package and subclasses), and public (accessible everywhere).",REMEMBER,3.3,java
"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable, creating new objects for modifications. StringBuilder is mutable and not thread-safe, making it faster for single-threaded operations. StringBuffer is mutable and thread-safe, suitable for multi-threaded environments but slower than StringBuilder.",REMEMBER,3.2,java
What is inheritance in Java?,Inheritance is a mechanism where a new class (subclass/child) inherits properties and methods from an existing class (superclass/parent). It promotes code reusability and establishes an 'is-a' relationship between classes using the 'extends' keyword.,REMEMBER,4.1,java
What is encapsulation?,"Encapsulation is the bundling of data (variables) and methods that operate on that data within a single unit (class). It restricts direct access to some components using access modifiers, providing data hiding and increasing security.",REMEMBER,4.1,java
What is polymorphism in Java?,Polymorphism means 'many forms' and allows objects of different types to be treated as objects of a common base type. It includes compile-time polymorphism (method overloading) and runtime polymorphism (method overriding).,REMEMBER,5.5,java
What is abstraction in Java?,"Abstraction hides complex implementation details and shows only essential features. It's achieved through abstract classes and interfaces, allowing users to focus on what an object does rather than how it does it.",APPLY,3.9,java
What is the difference between abstract class and interface?,"Abstract classes can have both abstract and concrete methods, constructors, and instance variables. Interfaces (before Java 8) could only have abstract methods and constants. Java 8+ interfaces can have default and static methods. A class can implement multiple interfaces but extend only one abstract class.",APPLY,5.5,java
What is the static keyword in Java?,"The static keyword belongs to the class rather than any instance. Static variables are shared among all instances, static methods can be called without creating objects, and static blocks are executed when the class is first loaded.",REMEMBER,3.2,java
What is the final keyword in Java?,"The final keyword prevents modification. Final variables cannot be reassigned, final methods cannot be overridden, and final classes cannot be extended. It's used for creating constants and preventing inheritance.",APPLY,4.2,java
What is exception handling in Java?,"Exception handling is a mechanism to handle runtime errors gracefully using try-catch-finally blocks. It allows programs to continue execution even when errors occur, improving robustness and user experience.",APPLY,4.2,java
What is the difference between checked and unchecked exceptions?,"Checked exceptions must be handled at compile time (IOException, SQLException). Unchecked exceptions are runtime exceptions that don't need explicit handling (NullPointerException, ArrayIndexOutOfBoundsException). Checked exceptions extend Exception, unchecked extend RuntimeException.",REMEMBER,4.1,java
What is the difference between throw and throws?,"throw is used to explicitly throw an exception within a method. throws is used in method signatures to declare that a method might throw certain exceptions, indicating that the caller should handle them.",APPLY,3.8,java
What is a thread in Java?,"A thread is a lightweight subprocess that allows concurrent execution of multiple parts of a program. Threads can be created by extending the Thread class or implementing the Runnable interface, enabling multitasking within applications.",APPLY,3.9,java
What is synchronization in Java?,"Synchronization controls access to shared resources in multithreaded environments. It prevents race conditions and ensures thread safety using synchronized methods, synchronized blocks, or explicit locks.",REMEMBER,2.8,java
What is garbage collection in Java?,"Garbage collection is automatic memory management that removes objects that are no longer referenced by the program. It prevents memory leaks and runs in the background, freeing developers from manual memory management.",CREATE,5.3,java
What are the different types of memory areas in JVM?,"JVM memory includes: Heap (object storage), Stack (method calls and local variables), Method Area (class metadata), PC Register (program counter), and Native Method Stack (native method calls). Heap is further divided into Young and Old generations.",REMEMBER,4.2,java
What is the difference between == and equals() method?,"== compares references (memory addresses) for objects and values for primitives. equals() method compares the actual content of objects. For strings, == checks if they refer to the same object, while equals() checks if they have the same content.",UNDERSTAND,4.1,java
What is autoboxing and unboxing?,Autoboxing is the automatic conversion of primitive types to their corresponding wrapper classes (int to Integer). Unboxing is the reverse process (Integer to int). This feature simplifies code when working with collections and generics.,REMEMBER,4.4,java
What are wrapper classes in Java?,"Wrapper classes are object representations of primitive data types (Integer, Double, Boolean, Character, etc.). They provide utility methods, enable primitives to be used in collections, and support autoboxing/unboxing.",APPLY,3.7,java
What is a package in Java?,"A package is a namespace that organizes related classes and interfaces. It provides access protection, prevents naming conflicts, and makes code more maintainable. The package statement must be the first line in a Java file.",REMEMBER,2.3,java
What is the import statement in Java?,The import statement allows you to use classes and interfaces from other packages without fully qualifying their names. It makes code more readable and reduces typing. Static imports allow importing static members directly.,APPLY,4.7,java
What is a lambda expression in Java?,"Lambda expressions, introduced in Java 8, provide a concise way to represent anonymous functions. They enable functional programming paradigms and are commonly used with functional interfaces and streams for more readable and expressive code.",APPLY,4.3,java
What is a functional interface?,"A functional interface has exactly one abstract method and can be used with lambda expressions. Common examples include Runnable, Callable, and Comparator. The @FunctionalInterface annotation ensures the interface has only one abstract method.",APPLY,4.3,java
What is the Stream API in Java?,"The Stream API provides a functional approach to processing collections of objects. It supports operations like filter, map, reduce, and collect, enabling declarative programming style with lazy evaluation and parallel processing capabilities.",REMEMBER,2.8,java
What is the difference between ArrayList and LinkedList?,ArrayList uses dynamic arrays with fast random access (O(1)) but slow insertion/deletion in the middle (O(n)). LinkedList uses doubly-linked nodes with fast insertion/deletion (O(1)) but slow random access (O(n)).,REMEMBER,3.3,java
What is the difference between HashSet and TreeSet?,"HashSet uses hashing for O(1) average performance, doesn't maintain order, and allows null values. TreeSet uses a balanced tree structure for O(log n) performance, maintains sorted order, and doesn't allow null values.",APPLY,5.5,java
What is the difference between HashMap and TreeMap?,"HashMap uses hashing for O(1) average performance, doesn't maintain order, and allows null keys/values. TreeMap uses a balanced tree for O(log n) performance, maintains sorted order by keys, and doesn't allow null keys.",APPLY,5.5,java
What is the Collections framework in Java?,"The Collections framework provides a unified architecture for storing and manipulating groups of objects. It includes interfaces (Collection, List, Set, Map), implementations (ArrayList, HashSet, HashMap), and algorithms (sort, search).",REMEMBER,5.2,java
What is the difference between Comparable and Comparator?,"Comparable interface is implemented by classes to define natural ordering using compareTo() method. Comparator is a separate interface for custom ordering logic using compare() method, allowing multiple sorting strategies.",REMEMBER,3.6,java
What is serialization in Java?,Serialization is the process of converting objects into byte streams for storage or transmission. Classes must implement Serializable interface. Deserialization reconstructs objects from byte streams. The serialVersionUID helps maintain compatibility.,APPLY,3.4,java
What is the transient keyword?,"The transient keyword prevents fields from being serialized. When an object is serialized, transient fields are ignored and their values are not included in the serialized form. They are initialized to default values during deserialization.",REMEMBER,3.2,java
What is reflection in Java?,"Reflection allows inspection and manipulation of classes, methods, fields, and constructors at runtime. It provides the ability to examine class structure, invoke methods dynamically, and create instances without compile-time knowledge.",CREATE,5.8,java
What is the difference between ClassNotFoundException and NoClassDefFoundError?,ClassNotFoundException is a checked exception thrown when trying to load a class that doesn't exist in the classpath. NoClassDefFoundError is an error thrown when a class was available at compile time but not at runtime.,REMEMBER,4.6,java
What is the volatile keyword in Java?,The volatile keyword ensures that changes to a variable are immediately visible to all threads. It prevents compiler optimizations that might cache the variable's value and provides happens-before guarantees for thread synchronization.,REMEMBER,4.3,java
What is the difference between wait() and sleep()?,"wait() releases the lock and waits for notification, used for inter-thread communication. sleep() pauses execution for a specific time without releasing locks. wait() is called on objects, sleep() is a static method of Thread class.",APPLY,4.2,java
What is deadlock in Java?,"Deadlock occurs when two or more threads are blocked forever, each waiting for the other to release a resource. It happens when threads acquire locks in different orders. Prevention strategies include lock ordering and timeout mechanisms.",REMEMBER,3.1,java
What is the difference between process and thread?,A process is an independent program execution with its own memory space. A thread is a lightweight subprocess that shares memory with other threads in the same process. Threads have faster creation and context switching than processes.,REMEMBER,2.2,java
What is the Executor framework?,"The Executor framework provides a higher-level API for managing threads. It includes thread pools, scheduled execution, and task submission mechanisms. Common implementations include ThreadPoolExecutor and ScheduledThreadPoolExecutor.",APPLY,3.8,java
What is the difference between String pool and heap memory?,String pool is a special memory area in heap where string literals are stored to optimize memory usage through string interning. Regular string objects created with 'new' are stored in heap memory outside the string pool.,CREATE,5.7,java
What is the difference between shallow copy and deep copy?,Shallow copy creates a new object but references to nested objects are shared. Deep copy creates a new object with copies of all nested objects. Shallow copy is faster but changes to nested objects affect both copies.,CREATE,5.7,java
What is the clone() method in Java?,"The clone() method creates a copy of an object. Classes must implement Cloneable interface to use it. By default, it performs shallow copying. For deep copying, the clone() method must be overridden to handle nested objects.",APPLY,3.9,java
What is the difference between ArrayList and Vector?,"ArrayList is not synchronized and allows multiple threads to access simultaneously, making it faster. Vector is synchronized and thread-safe but slower. ArrayList grows by 50% when capacity is exceeded, Vector doubles its size.",REMEMBER,3.6,java
What is the difference between HashMap and Hashtable?,"HashMap allows null keys and values, is not synchronized, and is faster. Hashtable doesn't allow null keys/values, is synchronized and thread-safe, but slower. HashMap was introduced in Java 1.2, Hashtable in Java 1.0.",REMEMBER,1.8,java
What is the Iterator interface?,Iterator provides a way to access elements of a collection sequentially without exposing its internal structure. It has hasNext() and next() methods for traversal and remove() for safe element removal during iteration.,REMEMBER,3.9,java
What is the difference between Iterator and ListIterator?,"Iterator can traverse forward only and works with all collections. ListIterator can traverse both forward and backward, allows modification during iteration, and works only with List implementations.",REMEMBER,3.1,java
What is the difference between fail-fast and fail-safe iterators?,Fail-fast iterators throw ConcurrentModificationException when the collection is modified during iteration. Fail-safe iterators work on a copy of the collection and don't throw exceptions but may not reflect real-time changes.,REMEMBER,3.1,java
What is generics in Java?,"Generics provide type safety by allowing classes, interfaces, and methods to operate on parameterized types. They enable compile-time type checking, eliminate casting, and make code more readable and maintainable.",REMEMBER,3.3,java
What is type erasure in Java generics?,"Type erasure is the process where generic type information is removed during compilation. Generic types are replaced with their bounds or Object, maintaining backward compatibility but losing runtime type information.",REMEMBER,2.4,java
What are bounded type parameters?,"Bounded type parameters restrict the types that can be used as type arguments. Upper bounds use 'extends' keyword (T extends Number), lower bounds use 'super' keyword (T super Integer), providing more control over generic types.",APPLY,4.2,java
What is wildcards in Java generics?,"Wildcards (?) represent unknown types in generics. Unbounded wildcards (?), upper bounded (? extends Type), and lower bounded (? super Type) wildcards provide flexibility when working with generic types.",REMEMBER,3.7,java
What is annotation in Java?,"Annotations are metadata that provide information about the code without affecting its behavior. They can be processed at compile-time or runtime. Common examples include @Override, @Deprecated, and @SuppressWarnings.",REMEMBER,3.3,java
What is the difference between @Override and overriding?,@Override is an annotation that indicates a method is intended to override a parent method. It provides compile-time checking to ensure the method signature matches the parent. Overriding is the actual process of redefining a method.,REMEMBER,3.3,java
What is the enum in Java?,"Enum is a special class that represents a group of constants. It's type-safe, can have methods and constructors, and implements Comparable and Serializable interfaces. Enums are implicitly final and their constructors are private.",APPLY,4.3,java
What is the difference between ordinary class and enum?,"Enums are implicitly final and extend java.lang.Enum, cannot be extended, have private constructors, and represent fixed constants. Ordinary classes can be extended, have public constructors, and represent general objects.",CREATE,5.2,java
What is the difference between composition and inheritance?,"Inheritance represents 'is-a' relationship using extends keyword, sharing code through parent classes. Composition represents 'has-a' relationship, where objects contain other objects as members, providing more flexibility and loose coupling.",REMEMBER,3.2,java
What is aggregate and composition in Java?,Aggregation is a 'has-a' relationship where objects can exist independently (Department has Students). Composition is a stronger 'part-of' relationship where parts cannot exist without the whole (House has Rooms).,APPLY,3.7,java
What is coupling and cohesion in Java?,Coupling measures how closely connected different modules are (loose coupling is better). Cohesion measures how closely related elements within a module are (high cohesion is better). Good design has loose coupling and high cohesion.,CREATE,6.1,java
What is the singleton pattern in Java?,"Singleton pattern ensures only one instance of a class exists. It provides global access point and controls instantiation. Common implementations include eager initialization, lazy initialization, and thread-safe versions using synchronization.",APPLY,3.4,java
What is the factory pattern in Java?,Factory pattern provides an interface for creating objects without specifying their exact classes. It encapsulates object creation logic and promotes loose coupling by eliminating the need to bind application-specific classes.,REMEMBER,3.2,java
What is JDBC in Java?,"JDBC (Java Database Connectivity) is an API for connecting and executing queries with databases. It provides a standard interface for database operations including connection management, statement execution, and result processing.",REMEMBER,3.7,java
What is the difference between Statement and PreparedStatement?,"Statement is used for simple SQL queries and is compiled each time. PreparedStatement is pre-compiled, supports parameterized queries, prevents SQL injection, and offers better performance for repeated executions.",APPLY,4.7,java
What is connection pooling in JDBC?,"Connection pooling is a technique that maintains a pool of database connections to improve performance. Instead of creating new connections for each request, applications reuse existing connections from the pool, reducing overhead.",APPLY,4.4,java
What is the difference between forward() and sendRedirect()?,"forward() transfers control to another resource on the server side, maintaining the same request. sendRedirect() sends a response to the client to make a new request to a different URL, creating a new request-response cycle.",REMEMBER,4.0,java
What is the difference between GET and POST methods?,"GET sends data in URL parameters, has size limitations, is idempotent, and is used for retrieving data. POST sends data in request body, has no size limit, is not idempotent, and is used for sending data to be processed.",APPLY,4.2,java
What is the difference between heap and stack memory?,"Heap stores objects and instance variables, is shared among threads, and has slower access. Stack stores method calls and local variables, is thread-specific, has faster access, and follows LIFO principle.",REMEMBER,2.7,java
What is memory leak in Java?,"Memory leak occurs when objects are not properly garbage collected due to unintended references. Common causes include static collections, listener registrations, and unclosed resources. It leads to OutOfMemoryError.",REMEMBER,2.7,java
What is the difference between StringBuilder and StringBuffer?,StringBuilder is not thread-safe and faster for single-threaded operations. StringBuffer is thread-safe using synchronization but slower. Both are mutable and more efficient than String for multiple concatenations.,REMEMBER,3.6,java
What is the difference between primitive and reference types?,"Primitive types store values directly in memory (int, boolean, char). Reference types store memory addresses pointing to objects (String, arrays, objects). Primitives are faster and stored in stack, references in heap.",REMEMBER,4.0,java
